index,Country,year,GiftAmount
56,BERMUDA,2012,250000
57,BERMUDA,2013,2307500
58,BERMUDA,2014,1600000
59,BERMUDA,2015,5040410
60,BERMUDA,2016,758289912
61,BERMUDA,2017,36838399
106,CHINA,2012,35208728
107,CHINA,2013,46927021
108,CHINA,2014,58484858
109,CHINA,2015,60260927
110,CHINA,2016,130139026
111,CHINA,2017,105755997
160,ENGLAND,2012,86930489
161,ENGLAND,2013,75725975
162,ENGLAND,2014,115275973
163,ENGLAND,2015,171631396
164,ENGLAND,2016,139290470
165,ENGLAND,2017,141542584
458,QATAR,2012,125177977
459,QATAR,2013,105712305
460,QATAR,2014,148093242
461,QATAR,2015,303798082
462,QATAR,2016,363934098
463,QATAR,2017,250418305
476,SAUDI ARABIA,2012,99131430
477,SAUDI ARABIA,2013,67394954
478,SAUDI ARABIA,2014,127698561
479,SAUDI ARABIA,2015,93225195
480,SAUDI ARABIA,2016,82531174
481,SAUDI ARABIA,2017,98678107
